ranking,movie_name,score,score_num
158,海边的曼彻斯特,8.6,160378人评价
159,荒蛮故事,8.7,129878人评价
160,香水,8.4,269651人评价
161,冰川时代,8.4,263549人评价
162,朗读者,8.5,273055人评价
163,追随,8.9,79740人评价
164,撞车,8.6,170728人评价
165,小森林 冬春篇,8.9,106786人评价
166,罗生门,8.7,120824人评价
167,一次别离,8.7,128880人评价
168,时空恋旅人,8.6,191031人评价
169,心迷宫,8.6,153915人评价
170,唐伯虎点秋香,8.4,311505人评价
171,超能陆战队,8.6,355733人评价
172,蝙蝠侠：黑暗骑士崛起,8.5,286428人评价
173,战争之王,8.5,170522人评价
174,可可西里,8.6,125471人评价
175,梦之安魂曲,8.7,108985人评价
176,地球上的星星,8.8,81432人评价
177,碧海蓝天,8.7,106231人评价
178,未麻的部屋,8.8,91927人评价
179,爆裂鼓手,8.6,228838人评价
180,秒速5厘米,8.3,285561人评价
181,恐怖游轮,8.3,309794人评价
182,谍影重重2,8.5,154567人评价
183,阿飞正传,8.5,174797人评价
184,谍影重重,8.5,186451人评价
185,达拉斯买家俱乐部,8.6,162493人评价
186,牯岭街少年杀人事件,8.7,102603人评价
187,海盗电台,8.6,162118人评价
188,惊魂记,8.8,79635人评价
189,魔女宅急便,8.4,187415人评价
190,被解救的姜戈,8.5,251826人评价
191,再次出发之纽约遇见你,8.5,160838人评价
192,东京物语,9.2,48608人评价
193,绿里奇迹,8.7,102997人评价
194,勇闯夺命岛,8.5,138088人评价
195,迁徙的鸟,9.1,50755人评价
196,末路狂花,8.7,100869人评价
197,青蛇,8.4,212170人评价
198,荒野生存,8.6,123304人评价
199,哪吒闹海,8.8,76820人评价
200,卡萨布兰卡,8.6,120711人评价
201,终结者2：审判日,8.5,136329人评价
202,忠犬八公物语,9.0,54769人评价
203,这个男人来自地球,8.5,172253人评价
204,燕尾蝶,8.6,105529人评价
205,变脸,8.4,207612人评价
206,源代码,8.3,396153人评价
207,新龙门客栈,8.4,176294人评价
208,英国病人,8.4,169667人评价
209,E.T. 外星人,8.5,147451人评价
210,黄金三镖客,9.1,49467人评价
211,黑客帝国3：矩阵革命,8.5,149466人评价
212,发条橙,8.4,180520人评价
213,城市之光,9.2,41646人评价
214,美国丽人,8.4,178915人评价
215,叫我第一名,8.6,105369人评价
216,无耻混蛋,8.4,216182人评价
217,穆赫兰道,8.3,226978人评价
218,非常嫌疑犯,8.6,112144人评价
219,初恋这件小事,8.2,442302人评价
220,勇士,8.9,84980人评价
221,模仿游戏,8.5,243466人评价
222,上帝也疯狂,8.6,93017人评价
223,蓝色大门,8.3,266325人评价
224,爱·回家,9.0,45693人评价
225,爱在午夜降临前,8.8,110077人评价
226,无敌破坏王,8.6,178237人评价
227,大卫·戈尔的一生,8.6,87075人评价
228,血钻,8.5,125194人评价
229,房间,8.8,141076人评价
230,国王的演讲,8.3,326177人评价
231,枪火,8.6,95579人评价
232,疯狂的石头,8.2,298933人评价
233,麦兜故事,8.5,123338人评价
234,曾经,8.3,197240人评价
235,暖暖内含光,8.4,139531人评价
236,头脑特工队,8.7,210538人评价
237,千钧一发,8.7,81131人评价
238,遗愿清单,8.5,121274人评价
239,荒岛余生,8.5,127417人评价
240,蝴蝶,8.6,92842人评价
241,巴黎淘气帮,8.6,102032人评价
242,与狼共舞,8.9,54380人评价
243,月球,8.5,138004人评价
244,偷拐抢骗,8.5,112300人评价
245,我爱你,9.0,53337人评价
246,彗星来的那一夜,8.4,162760人评价
247,步履不停,8.8,62390人评价
248,寿司之神,8.8,78946人评价
249,夜访吸血鬼,8.3,191456人评价
250,廊桥遗梦,8.6,94682人评价
